gender,city,state,zip,lat,long,city_pop,job,unix_time,category,amt,is_fraud,merchant,merch_lat,merch_long,trans_year,trans_month,trans_day,trans_hour,trans_minute,trans_second,day_of_week,distance_to_merchant,age
0,27,14,-0.37910083137531,41.0384,-81.7374,-0.44102236311118,13,1675418969,3,0.7940926019323494,0,589,41.777691,-82.735156,2023,2,3,5,9,29,4,1.391196668221218,0.2563526781298881
0,12,15,0.8646319283742078,26.2556,-98.2303,-0.3052953742011151,12,1684321993,9,-0.2870977890236657,0,82,26.484432,-97.996821,2023,5,17,7,13,13,2,-1.442305153433414,-0.4549162257075402
0,18,13,-1.5230384195071387,43.329,-73.6818,-0.4455797911669166,1,1694198393,5,0.3538308536738304,0,579,43.820865,-73.304588,2023,9,8,14,39,53,4,-0.4774085553514109,1.5495688669252123
0,27,14,-0.37910083137531,41.0384,-81.7374,-0.44102236311118,13,1682682698,9,-0.1586851579886877,0,521,41.946598,-82.235855,2023,4,28,7,51,38,4,1.119082745381745,0.2563526781298881
0,12,15,0.8646319283742078,26.2556,-98.2303,-0.3052953742011151,12,1700339720,7,0.6325663879634484,0,66,25.872678,-97.570791,2023,11,18,15,35,20,5,0.0673523476819023,-0.4549162257075402
0,19,8,-0.2268277909244296,43.4055,-82.8409,-0.4733395206393953,28,1691304606,1,-0.2166162013655939,0,573,43.758349,-82.648487,2023,8,6,2,50,6,6,-1.1769796406528523,1.42024724804568
0,19,8,-0.2268277909244296,43.4055,-82.8409,-0.4733395206393953,28,1700357795,7,0.3560289715987803,0,671,44.39689,-82.41778,2023,11,18,20,36,35,5,1.3303920204520026,1.42024724804568
0,15,8,-0.2422004630272273,42.7443,-82.8042,-0.4687260258061716,21,1686002729,11,-0.3495668823101459,0,198,42.543708,-83.617999,2023,6,5,18,5,29,0,-0.210148548148284,-0.0022905596291767
1,4,5,0.2147640263831234,41.9019,-87.6778,3.097231821004665,29,1698632684,6,-0.1653504187933746,0,364,41.684108,-87.461214,2023,10,29,22,24,44,6,-1.5891330295259316,-0.7135594634666051
0,15,8,-0.2422004630272273,42.7443,-82.8042,-0.4687260258061716,21,1676820680,3,-0.4867010780150864,0,582,41.936935,-83.227656,2023,2,19,10,31,20,6,0.6771277182606658,-0.0022905596291767
0,22,3,1.3007724435176482,33.8106,-118.3507,-0.2482607773407326,9,1677914155,4,1.1903919916918702,0,29,33.293727,-118.461444,2023,3,4,2,15,55,5,-0.6257305825000733,1.4849080574854463
0,3,13,-1.5806041703601683,40.6412,-74.0133,2.8625736682953504,26,1689643731,12,0.3258934839180152,0,480,41.104356,-74.281308,2023,7,17,21,28,51,0,-0.6966103128289791,-1.4248283673040334
0,9,16,-1.1498786153664131,37.2916,-76.4905,-0.4656023053461764,24,1680005996,4,-0.4567783114238326,0,25,38.255261,-75.674925,2023,3,28,8,19,56,1,1.7958954185111349,-1.1661851295449686
0,8,6,-0.3115410265547404,39.7902,-85.8141,-0.4295567071150694,22,1688216190,12,-0.5286780396786462,0,627,40.187281,-85.904067,2023,7,1,8,56,30,5,-1.0883792740496856,0.514995915888953
0,9,16,-1.1498786153664131,37.2916,-76.4905,-0.4656023053461764,24,1702171020,7,-0.4500421435893085,0,546,36.845086,-76.609116,2023,12,9,20,17,0,5,-0.8856935726965546,-1.1661851295449686
0,3,13,-1.5806041703601683,40.6412,-74.0133,2.8625736682953504,26,1700874746,7,0.0901985167395135,0,667,39.858711,-74.613059,2023,11,24,20,12,26,4,0.8325342326291835,-1.4248283673040334
1,2,4,-0.7705043267585993,27.9056,-82.2881,-0.3747314082723331,4,1687399143,11,-0.5103840259806759,0,27,27.84187,-82.62401,2023,6,21,21,59,3,2,-1.4632272321297457,-0.97220270122567
1,4,5,0.2147640263831234,41.9019,-87.6778,3.097231821004665,29,1690763260,12,-0.4279900573099722,0,400,42.489617,-87.241843,2023,7,30,20,27,40,6,-0.0663448294597441,-0.7135594634666051
0,9,16,-1.1498786153664131,37.2916,-76.4905,-0.4656023053461764,24,1679219999,4,-0.4993934363559263,0,270,38.106556,-75.626655,2023,3,19,5,59,59,6,1.4325907892438874,-1.1661851295449686
0,27,14,-0.37910083137531,41.0384,-81.7374,-0.44102236311118,13,1678700918,4,0.7857964794414095,0,12,41.302648,-82.228134,2023,3,13,5,48,38,0,-0.8889863973430537,0.2563526781298881
1,4,5,0.2147640263831234,41.9019,-87.6778,3.097231821004665,29,1677774951,3,0.00340831221891,0,363,41.240746,-87.431598,2023,3,2,11,35,51,3,-0.0082434167402879,-0.7135594634666051
0,27,14,-0.37910083137531,41.0384,-81.7374,-0.44102236311118,13,1694999678,5,-0.150672663617096,0,611,42.000755,-80.753927,2023,9,17,21,14,38,6,1.99879674335348,0.2563526781298881
0,0,9,-0.551689057891117,30.511,-88.9681,-0.3996891337937306,11,1703016594,10,0.4283541420326167,0,254,30.030344,-88.144579,2023,12,19,15,9,54,1,0.6517009317375193,3.166089102919368
1,4,5,0.2147640263831234,41.9019,-87.6778,3.097231821004665,29,1693688295,1,-0.0606207357239861,0,370,41.573597,-87.253587,2023,9,2,16,58,15,5,-0.8829275489105978,-0.7135594634666051
1,1,14,-0.3232794972147964,40.879,-83.8914,-0.4720166116753546,10,1698085280,5,-0.4917354771335201,0,168,40.671969,-83.614626,2023,10,23,14,21,20,0,-1.4990675658046526,-1.6834716050630985
1,18,13,-1.5230384195071387,43.329,-73.6818,-0.4455797911669166,2,1693758265,1,-0.2193106684994034,0,348,43.409525,-72.731699,2023,9,3,12,24,25,6,0.0355217961279089,-0.3255946068280078
0,11,12,1.2498209392904085,36.1149,-115.2161,1.4116362178628703,14,1689602552,0,-0.1058594207600524,0,134,36.153571,-115.043598,2023,7,17,10,2,32,0,-2.070816078522056,1.42024724804568
1,20,10,-0.94247473902914,35.3481,-83.2031,-0.4595017059862712,18,1688368979,12,-0.531443413842293,0,17,35.609474,-83.170674,2023,7,3,3,22,59,0,-1.623614443549639,1.1616040102866152
0,15,8,-0.2422004630272273,42.7443,-82.8042,-0.4687260258061716,21,1686178724,11,-0.1389020966641384,0,386,42.038872,-83.24667,2023,6,7,18,58,44,2,0.3404502893276293,-0.0022905596291767
1,14,4,-0.7839145300823164,25.813,-80.232,1.8387369096802653,15,1673866339,2,-0.5042860214146858,0,332,26.022093,-79.648609,2023,1,16,5,52,19,0,-0.4670170329730389,0.9676215819673164
