iter	Passed	Remaining
0	2	223
1	3	188
2	5	174
3	7	172
4	9	171
5	10	164
6	11	158
7	14	161
8	15	158
9	17	159
10	19	158
11	21	154
12	22	152
13	24	150
14	26	148
15	27	146
16	29	144
17	31	141
18	33	141
19	34	139
20	36	138
21	38	137
22	40	136
23	42	133
24	43	130
25	45	129
26	47	127
27	49	126
28	50	124
29	52	122
30	53	119
31	55	117
32	57	116
33	58	114
34	60	112
35	62	110
36	64	109
37	65	107
38	67	105
39	69	103
40	70	102
41	72	100
42	74	98
43	75	96
44	77	94
45	78	92
46	80	90
47	81	88
48	83	86
49	85	85
50	87	83
51	88	81
52	90	80
53	92	78
54	94	77
55	96	76
56	99	75
57	101	73
58	103	72
59	106	70
60	108	69
61	110	67
62	112	66
63	114	64
64	116	62
65	118	61
66	121	59
67	122	57
68	125	56
69	127	54
70	130	53
71	132	51
72	135	50
73	137	48
74	140	46
75	143	45
76	146	43
77	148	41
78	151	40
79	153	38
80	156	36
81	158	34
82	160	32
83	163	31
84	166	29
85	168	27
86	171	25
87	173	23
88	175	21
89	177	19
90	179	17
91	181	15
92	183	13
93	185	11
94	187	9
95	189	7
96	191	5
97	194	3
98	196	1
99	197	0
